iter	Passed	Remaining
0	151	150943
1	154	77168
2	157	52403
3	161	40146
4	169	33698
5	175	29100
6	179	25421
7	182	22645
8	185	20471
9	190	18867
10	193	17393
11	196	16148
12	198	15107
13	201	14201
14	204	13428
15	209	12911
16	212	12301
17	215	11737
18	218	11260
19	221	10872
20	224	10479
21	228	10145
22	231	9817
23	235	9564
24	239	9328
25	241	9063
26	244	8801
27	246	8562
28	249	8367
29	252	8163
30	255	7977
31	257	7789
32	260	7636
33	263	7494
34	267	7378
35	270	7241
36	277	7221
37	280	7110
38	284	7020
39	290	6962
40	293	6864
41	298	6800
42	301	6702
43	305	6636
44	308	6556
45	315	6537
46	321	6514
47	324	6434
48	331	6438
49	335	6374
50	338	6302
51	343	6262
52	347	6208
53	349	6128
54	354	6084
55	357	6030
56	361	5985
57	364	5924
58	368	5884
59	372	5828
60	374	5765
61	376	5701
62	379	5639
63	383	5604
64	387	5572
65	390	5527
66	393	5483
67	401	5507
68	404	5463
69	407	5419
70	412	5393
71	416	5365
72	420	5335
73	423	5304
74	427	5266
75	430	5236
76	434	5203
77	437	5168
78	441	5148
79	444	5117
80	449	5097
81	453	5074
82	461	5095
83	466	5081
84	470	5068
85	476	5064
86	480	5044
87	486	5036
88	489	5008
89	493	4993
90	499	4990
91	502	4961
92	505	4930
93	509	4905
94	512	4880
95	516	4864
96	519	4834
97	521	4801
98	523	4768
99	526	4739
100	529	4709
101	531	4677
102	534	4653
103	541	4666
104	544	4638
105	547	4614
106	549	4585
107	551	4556
108	554	4529
109	557	4508
110	559	4481
111	561	4455
112	564	4428
113	566	4406
114	571	4394
115	573	4370
116	575	4345
117	578	4320
118	580	4297
119	582	4273
120	585	4252
121	587	4229
122	590	4212
123	593	4192
124	597	4180
125	601	4169
126	604	4157
127	607	4138
128	610	4119
129	612	4101
130	616	4091
131	619	4075
132	623	4065
133	626	4047
134	632	4049
135	634	4031
136	636	4011
137	639	3992
138	642	3977
139	644	3960
140	647	3943
141	650	3930
142	652	3912
143	655	3899
144	660	3892
145	662	3875
146	665	3858
147	667	3842
148	670	3827
149	672	3812
150	676	3803
151	680	3794
152	684	3791
153	690	3790
154	693	3780
155	695	3763
156	697	3747
157	701	3739
158	703	3723
159	706	3707
160	708	3692
161	711	3678
162	713	3663
163	716	3651
164	720	3644
165	722	3630
166	725	3616
167	727	3602
168	730	3590
169	732	3576
170	734	3562
171	737	3551
172	740	3541
173	745	3538
174	749	3532
175	752	3521
176	769	3578
177	784	3623
178	792	3633
179	796	3629
180	799	3617
181	802	3607
182	805	3596
183	809	3587
184	812	3579
185	817	3578
186	821	3571
187	824	3563
188	829	3559
189	834	3555
190	837	3546
191	840	3537
192	844	3530
193	847	3523
194	854	3525
195	857	3516
196	860	3509
197	864	3499
198	867	3491
199	870	3482
200	875	3482
201	880	3477
202	884	3473
203	889	3469
204	892	3462
205	896	3455
206	900	3448
207	906	3451
208	910	3446
209	913	3437
210	917	3429
211	921	3426
212	926	3421
213	934	3430
214	938	3425
215	941	3416
216	944	3408
217	947	3398
218	951	3392
219	954	3383
220	957	3374
221	960	3365
222	964	3361
223	967	3351
224	970	3341
225	972	3332
226	975	3322
227	978	3312
228	981	3304
229	984	3296
230	989	3293
231	993	3290
232	996	3281
233	999	3271
234	1003	3266
235	1007	3261
236	1012	3259
237	1018	3262
238	1027	3270
239	1029	3261
240	1035	3260
241	1037	3250
242	1040	3241
243	1045	3238
244	1050	3237
245	1054	3230
246	1058	3227
247	1063	3226
248	1066	3215
249	1068	3206
250	1071	3198
251	1079	3205
252	1083	3198
253	1088	3197
254	1092	3191
255	1095	3183
256	1098	3176
257	1106	3181
258	1109	3175
259	1113	3168
260	1117	3164
261	1120	3157
262	1123	3148
263	1126	3140
264	1130	3136
265	1136	3135
266	1140	3130
267	1143	3122
268	1149	3124
269	1153	3118
270	1156	3110
271	1160	3105
272	1165	3104
273	1169	3097
274	1171	3089
275	1176	3085
276	1180	3081
277	1184	3075
278	1186	3067
279	1190	3061
280	1195	3059
281	1198	3052
282	1202	3045
283	1204	3037
284	1207	3030
285	1210	3022
286	1213	3014
287	1216	3006
288	1219	2999
289	1222	2992
290	1225	2984
291	1228	2977
292	1230	2969
293	1234	2963
294	1238	2959
295	1241	2952
296	1244	2945
297	1247	2938
298	1253	2937
299	1257	2933
300	1260	2927
301	1263	2920
302	1266	2913
303	1270	2907
304	1273	2900
305	1276	2894
306	1279	2889
307	1282	2881
308	1285	2874
309	1288	2867
310	1291	2861
311	1295	2856
312	1298	2850
313	1301	2843
314	1304	2836
315	1307	2831
316	1314	2831
317	1344	2882
318	1348	2879
319	1354	2878
320	1358	2874
321	1362	2869
322	1367	2866
323	1372	2863
324	1375	2857
325	1379	2851
326	1382	2845
327	1386	2839
328	1389	2833
329	1393	2829
330	1397	2824
331	1400	2818
332	1405	2814
333	1409	2809
334	1413	2805
335	1416	2799
336	1419	2793
337	1423	2787
338	1427	2784
339	1431	2778
340	1434	2772
341	1437	2765
342	1440	2759
343	1445	2755
344	1448	2750
345	1454	2748
346	1458	2744
347	1461	2738
348	1464	2732
349	1468	2726
350	1471	2720
351	1474	2714
352	1477	2708
353	1480	2702
354	1484	2697
355	1487	2690
356	1490	2683
357	1493	2678
358	1496	2672
359	1501	2668
360	1506	2666
361	1510	2662
362	1514	2658
363	1519	2654
364	1523	2650
365	1527	2645
366	1530	2639
367	1532	2632
368	1535	2625
369	1537	2618
370	1541	2612
371	1544	2607
372	1547	2600
373	1549	2593
374	1552	2587
375	1555	2581
376	1559	2576
377	1561	2569
378	1564	2562
379	1566	2556
380	1569	2550
381	1573	2545
382	1575	2538
383	1577	2531
384	1580	2524
385	1582	2517
386	1585	2510
387	1587	2503
388	1589	2497
389	1592	2490
390	1594	2483
391	1596	2476
392	1600	2471
393	1603	2465
394	1605	2459
395	1608	2452
396	1610	2446
397	1612	2439
398	1615	2432
399	1617	2426
400	1619	2419
401	1622	2412
402	1624	2406
403	1627	2401
404	1631	2396
405	1633	2390
406	1636	2383
407	1638	2377
408	1640	2370
